Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
1st Source Bank,22239,1st source bank,1st,21STORE,31840,91.0,1st source,URC,114704,86.6,1st source bank,Trust Bank,86763,88.4,1st source
21st Century Insurance Group,21615,21st century insurance group,21st,21STORE,31840,86.8,21st century,Century,117608,88.0,21st century insurance,Twenty First Century Insurance Group,61962,89.0,21st century
360 Capital Industrial Fund,3543,360 capital industrial fund,360,360 Capital REIT Units,80905,93.8,360 capital,360 Capital Group Stapled Units,80904,93.8,360 capital industrial,Capital Securities,115447,88.2,
"AAG Holding Company, Inc.",20767,aag holding company,aag,AAG Holdings Company 7.5% Preferred,142184,94.0,aag holding,AAG Holdings Company 7.5% Preferred,142184,94.0,aag holding company,Yang Holding Company,69435,94.4,AAG
ABB Finance (Australia) Pty Limited,3541,abb finance (australia) pty,abb,ABB Grain (XETRA),309452,91.0,abb finance,B F,91340,84.0,abb finance (australia),Austral,177447,88.2,ABB 
ABB International Finance Limited,9993,abb international finance,abb,Aabbax International Financial,4718,97.4,abb international,International,206505,93.6,abb international finance,National Finance,43130,95.6,ABB
"ABN AMRO Bank (Mexico), S.A.",15597,abn amro bank (mexico),abn,ABN Amro Bank (BRN),223652,95.6,abn amro,ABN Amro Bank (BRN),223652,95.6,abn amro bank,ABN Amro Bank (BRN),223652,95.6,Abn amro bank
ABN AMRO Clearing Bank N.V.,16371,abn amro clearing bank n.v.,abn,ABN Amro Bank (BRN),223652,93.0,abn amro,ABN Amro Bank,87531,93.0,abn amro clearing,ABN Amro,78552,89.2,Abn amro bank
ABN AMRO Funding USA LLC,23047,abn amro funding usa,abn,ABN Amro Holding,14108,94.4,abn amro,ABN Amro Holding,14108,94.4,abn amro funding,ABN Amro,78552,91.4,Abn amro bank
ABN AMRO Groenbank B.V.,16244,abn amro groenbank b.v.,abn,ABN Amro Bank,87531,94.4,abn amro,ABN Amro Bank,87531,94.4,abn amro groenbank,ABN Amro,78552,90.4,Abn amro bank
ABN Amro Capital Finance Ltd,12379,abn amro capital finance,abn,ABN Amro Capital Funding (AMS) Trust V,233914,95.0,abn amro,ABN Amro Capital Funding (AMS) Trust V,233914,95.0,abn amro capital,ABN Amro Capital Funding (AMS) Trust V,233914,95.0,Abn amro bank
ABN Amro Capital Funding Trust II,21508,abn amro capital funding ii,abn,ABN Amro Capital Funding (AMS) Trust V,233914,97.0,abn amro,ABN Amro Capital Funding (AMS) Trust V,233914,97.0,abn amro capital,ABN Amro Capital Funding (AMS) Trust V,233914,97.0,Abn amro bank
ABPA HOLDINGS LIMITED,9511,abpa holdings,abpa,BP,124430,85.4,abpa holdings,Holdings,206120,95.2,abpa holdings,Holdings,206120,95.2,
AC ENERGY FINANCE INTERNATIONAL LIMITED,15025,ac energy finance international,ac,Centrack International,53067,95.0,ac energy,AC Energy Corporation,106261,93.0,ac energy finance,AC Energy,69560,89.0,AC Energy
ADANI GAS HOLDINGS LIMITED,11785,adani gas holdings,adani,Adani Gas,23933,93.4,adani gas,Adani Gas,23933,93.4,adani gas holdings,Adani Gas,23933,93.4,ADANI GAS
ADANI GREEN ENERGY TWENTY THREE LIMITED,11950,adani green energy twenty three,adani,Adani Green Energy,97102,94.6,adani green,Adani Green Energy Limited,23934,94.6,adani green energy,Adani Green Energy Limited,23934,94.6,ADANI
ADANI GUWAHATI INTERNATIONAL AIRPORT LIMITED,12049,adani guwahati international airport,adani,Adani Power (National India),220959,91.8,adani guwahati,ADA,90971,83.0,adani guwahati international,International,206505,90.6,ADANI
ADANI JAIPUR INTERNATIONAL AIRPORT LIMITED,12047,adani jaipur international airport,adani,Adani Power (National India),220959,92.2,adani jaipur,IPU,42573,83.2,adani jaipur international,International,206505,91.0,ADANI
ADANI LUCKNOW INTERNATIONAL AIRPORT LIMITED,11997,adani lucknow international airport,adani,Adani Power (National India),220959,92.6,adani lucknow,ANI,125024,83.2,adani lucknow international,International,206505,90.8,ADANI
ADANI MANGALURU INTERNATIONAL AIRPORT LIMITED,11990,adani mangaluru international airport,adani,Adani Enterprises (National India),220958,91.2,adani mangaluru,ADA,90971,83.0,adani mangaluru international,International,206505,90.4,ADANI
ADANI POWER (MUNDRA) LIMITED,11813,adani power (mundra),adani,Adani Power (National India),220959,94.2,adani power,Adani Power (National India),220959,94.2,adani power (mundra),Adani Power,97164,94.2,ADANI
ADANI RENEWABLE ENERGY (GJ) LIMITED,11930,adani renewable energy (gj),adani,Adani Green Energy,97102,94.2,adani renewable,Renewable,131633,90.0,adani renewable energy,Able Energy,127822,91.6,ADANI
ADANI RENEWABLE ENERGY (KA) LIMITED,11947,adani renewable energy (ka),adani,Adani Green Energy,97102,94.2,adani renewable,Renewable,131633,90.0,adani renewable energy,Able Energy,127822,91.6,ADANI
ADANI RENEWABLE ENERGY (RJ) LIMITED,11918,adani renewable energy (rj),adani,Adani Green Energy,97102,94.2,adani renewable,Renewable,131633,90.0,adani renewable energy,Able Energy,127822,91.6,ADANI
ADANI SOLAR ENERGY JODHPUR TWO LIMITED,12016,adani solar energy jodhpur two,adani,Adani Green Energy,97102,91.6,adani solar,ADA,90971,83.6,adani solar energy,Solar Energy,57595,91.4,ADANI
ADANI THIRUVANANTHAPURAM INTERNATIONAL AIRPORT,12046,adani thiruvananthapuram international airport,adani,Adani Enterprises (National India),220958,91.0,adani thiruvananthapuram,Pura,49930,83.2,adani thiruvananthapuram international,International,206505,88.8,ADANI
ADANI VIZHINJAM PORT PRIVATE LIMITED,12050,adani vizhinjam port private,adani,Adani Enterprises,97107,90.6,adani vizhinjam,ADA,90971,83.8,adani vizhinjam port,Port,112850,85.0,ADANI
ADANI WIND ENERGY (GUJARAT) PRIVATE LIMITED,11881,adani wind energy (gujarat) private,adani,Adani Enterprises,97107,90.8,adani wind,ADA,90971,83.2,adani wind energy,Energy,79025,85.8,ADANI
ADANI WIND ENERGY (TN) LIMITED,11945,adani wind energy (tn),adani,Adani Green Energy Limited,23934,94.0,adani wind,Win,51715,84.8,adani wind energy,Security Energy,12054,88.6,ADANI
ADANI WIND ENERGY KUTCHH FIVE LIMITED,11991,adani wind energy kutchh five,adani,Adani Green Energy,97102,92.0,adani wind,Win,51715,83.8,adani wind energy,Energy,79025,86.8,ADANI
ADITYA BIRLA ARC LIMITED,11934,aditya birla arc,aditya,Aditya Birla Nuvo,23948,95.8,aditya birla,Aditya Birla Nuvo,164633,95.8,aditya birla arc,Birla,165313,89.6,Aditya Birla
ADITYA BIRLA FINANCE LIMITED,11857,aditya birla finance,aditya,Aditya Birla Money,98349,95.8,aditya birla,Aditya Birla Money,98349,95.8,aditya birla finance,Aditya Birla Financial Services,97257,91.6,Aditya Birla
ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITE,11726,aditya birla sun life insurance company limite,aditya,Aditya Birla Sun Life Nifty IT ETF,162186,94.0,aditya birla,Aditya Birla Sun Life Nifty IT ETF,162186,94.0,aditya birla sun,Aditya Birla Sun Life Nifty IT ETF,162186,94.0,Aditya Birla
AEP TEXAS INC.,21944,aep texas,aep,AEP Industries,58909,92.2,aep texas,EXA,59850,90.0,aep texas,EXA,59850,90.0,AEP Texas Central
AEP Texas Central Company,20771,aep texas central company,aep,AEP Texas Central 4% Preferred,142258,93.8,aep texas,AEP Texas Central 4% Preferred,142258,93.8,aep texas central,AEP Texas Central 4% Preferred,142258,93.8,AEP Texas Central
AEP Texas Central Transition Funding II LLC,22525,aep texas central transition funding ii,aep,AEP Texas Central 4% Preferred,142258,92.2,aep texas,AEP Texas Central 4% Preferred,142258,92.2,aep texas central,AEP Texas Central 4% Preferred,142258,92.2,AEP Texas Central
AEP Texas North Company,20772,aep texas north company,aep,AEP Generating Company,62072,94.2,aep texas,AEP Texas North 4.4% Preferred,142259,92.8,aep texas north,AEP Texas North 4.4% Preferred,142259,92.8,AEP Texas North
AES Andres B.V.,8079,aes andres b.v.,aes,AES Andes,87895,95.0,aes andres,AES,133231,86.6,aes andres b.v.,AES,133231,86.6,AES Andres
AES Andres Dominicana Ltd.,7930,aes andres dominicana,aes,AES Andes,87895,92.0,aes andres,AES,133231,85.0,aes andres dominicana,ICA AB,178995,85.0,AES Andres
AES Argentina Generacion S.A.,2810,aes argentina generacion,aes,AES China Generating A,69694,94.0,aes argentina,Tina,40038,85.8,aes argentina generacion,Genera,8175,88.0,AES
"AES CHANGUINOLA, S.A.",16760,aes changuinola,aes,Aesculap,14227,92.2,aes changuinola,AES,133231,86.6,aes changuinola,AES,133231,86.6,AES
AES Chivor & CIA S.C.A. E.S.P.,7311,aes chivor & cia s.c.a. e.s.p.,aes,AES China Generating A,69694,88.4,aes chivor,AES,133231,83.6,aes chivor &,AES,133231,83.6,AES
AES Drax Energy Limited,9088,aes drax energy,aes,Daesung Energy,118095,93.8,aes drax,AES,133231,86.6,aes drax energy,Security Energy,12054,91.4,AES
"AES Eastern Energy, L.P.",21580,aes eastern energy,aes,Daesung Energy,118095,93.8,aes eastern,Eastern,136387,91.2,aes eastern energy,Terna Energy,90376,91.4,AES
AES El Salvador Trust II,16759,aes el salvador ii,aes,AES Elpa On,77,91.0,aes el,AES Elpa On,77,91.0,aes el salvador,Vado,127771,87.2,AES
AES Gener S.A.,5711,aes gener,aes,Saes Getters,95417,95.2,aes gener,AES Gener Rights,214874,94.4,aes gener,AES Gener Rights,214874,94.4,AES
AES HOLDINGS BRASIL LTDA.,4245,aes holdings brasil ltda.,aes,Daesang Holdings 2PB,178089,92.4,aes holdings,AG Holdings,44740,89.6,aes holdings brasil,Trust Holdings,51235,89.6,AES
"AES Ironwood, L.L.C.",21586,aes ironwood,aes,Saes RNC,29792,92.0,aes ironwood,IRO,42575,88.0,aes ironwood,IRO,42575,88.0,AES
"AES PANAMA GENERATION HOLDINGS, S.R.L.",16766,aes panama generation holdings s.r.l.,aes,AES China Generating A,69694,92.2,aes panama,Nama,94659,84.0,aes panama generation,Genera,8175,85.6,AES
AES Sul Distribuidora Gaucha de Energia S.A.,4002,aes sul distribuidora gaucha de energia,aes,AES Alicura Sociedad Anonima,75,90.2,aes sul,AES Sul On,78,88.2,aes sul distribuidora,AES,133231,82.8,AES
AES Trust VII,20980,aes vii,aes,AES (MIC),223696,92.4,aes vii,AES,133231,92.0,aes vii,AES,133231,92.0,AES
AES Tucano Holdings II S.A.,4559,aes tucano holdings ii,aes,Daesung Holdings,115525,94.8,aes tucano,AES,133231,84.8,aes tucano holdings,Trust Holdings,51235,90.6,AES
AGCO International Holdings B.V.,16496,agco international holdings b.v.,agco,AGCO Preferred Convertible 1/10 Share,192475,87.6,agco international,International,206505,91.6,agco international holdings,SA SA International Holdings,104062,96.2,AGCO
AIG GLOBAL FUNDING,24066,aig global funding,aig,Aigner Holding,4899,92.4,aig global,Global Securities,100799,90.0,aig global funding,Global Securities,100799,90.0,AIG
"AIG International, Inc.",21931,aig international,aig,Paige Innovations,10957,94.2,aig international,International,206505,97.4,aig international,International,206505,97.4,
"AIG LIFE HOLDINGS, INC.",23646,aig life holdings,aig,Aigner Holding,4899,95.4,aig life,Life,106808,87.6,aig life holdings,Trust Holdings,51235,92.8,AIG
AIG Matched Funding Corp.,21728,aig matched funding corp.,aig,Saigon Thuong Tin Commercial,124827,90.6,aig matched,AI,107553,83.0,aig matched funding,At Trust,45099,83.0,AIG
AIG SunAmerica Global Financing X,22449,aig sunamerica global financing x,aig,Aigner Holding,4899,90.2,aig sunamerica,Sunamerica,200871,89.4,aig sunamerica global,Sunamerica,200871,89.4,AIG
ALD International S.A.,8556,ald international,ald,Baldwin Aircraft International,70333,94.4,ald international,International,206505,97.4,ald international,International,206505,97.4,
ALL  America Latina Logistica Malha Sul S.A.,4210,all  america latina logistica malha sul,all,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6,all ,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6,all  america,All America Latina Logistica Unit 144A GDR 1:1,202445,88.2,ALL  America Latina Logistica
ALLIANCE ISLAMIC BANK BERHAD,15967,alliance islamic bank berhad,alliance,Alliance Tire and Rubber,62180,93.0,alliance islamic,AMI,116798,83.8,alliance islamic bank,AB Bank,80936,85.0,Alliance
"ALLIANCE RESOURCE OPERATING PARTNERS, L.P.",24320,alliance resource operating partners,alliance,Alliance Resource Partners L P Unit Trust Limited Partnership,133661,95.0,alliance resource,Alliance Resource Partners L P Unit Trust Limited Partnership,133661,95.0,alliance resource operating,Alliance Resources,44816,88.6,Alliance
ALLIANCE TIRE COMPANY LTD.,11163,alliance tire company,alliance,Alliance Finance Company,116728,96.8,alliance tire,Alliance Tire,24097,95.2,alliance tire company,Alliance Tire,24097,95.2,Alliance
ALLIANZ BANQUE S.A.,8407,allianz banque,allianz,Allianz E,164757,95.6,allianz banque,Allianz Securities,164766,93.4,allianz banque,Allianz Securities,164766,93.4,Allianz Securities
ALPHA BANK CYPRUS LTD,7376,alpha bank cyprus,alpha,Alpha Bank (XETRA),309700,93.8,alpha bank,Alpha Bank (XETRA),309700,93.8,alpha bank cyprus,Alpha,107717,89.0,alpha
ALPHA BANK ROMANIA SA,17123,alpha bank romania,alpha,Alpha Bank (XETRA),309700,94.4,alpha bank,Alpha Bank (XETRA),309700,94.4,alpha bank romania,Alpha,107718,88.6,alpha
ALPHA BANK SOCIETE ANONYME,10043,alpha bank societe anonyme,alpha,Alpha Bank (XETRA),309700,92.8,alpha bank,Alpha Bank (XETRA),309700,92.8,alpha bank societe,Alpha,107718,86.4,alpha
ALPHA STAR HOLDING III LIMITED,15001,alpha star holding iii,alpha,Alpha Dhabi Holding,124436,94.6,alpha star,Alpha Star Acquisition,135508,92.8,alpha star holding,Star Holding,39553,94.2,alpha star
ALPHA STAR HOLDING LIMITED,14939,alpha star holding,alpha,Alpha Holdings,116750,96.2,alpha star,Alpha Star Acquisition,135508,93.0,alpha star holding,Star Holding,39553,96.0,alpha star
ALPHA STAR HOLDING V LIMITED,15015,alpha star holding v,alpha,Alpha Dhabi Holding,124436,95.4,alpha star,Alpha Star Acquisition,135508,92.4,alpha star holding,Star Holding,39553,95.0,alpha star
"ALPHABET HOLDING COMPANY, INC.",23293,alphabet holding company,alphabet,Alphabet A (Lima),250973,92.6,alphabet holding,ETV Holding,17290,87.39999999999999,alphabet holding company,W Holding Company,201811,90.8,Alphabet
ALTICE FINANCING S.A.,15254,altice financing,altice,Altice SA,164797,91.0,altice financing,Financing,17627,94.4,altice financing,Financing,17627,94.4,Altice
ALTICE FINCO S.A.,15253,altice finco,altice,Altice SA,164797,93.4,altice finco,Altice SA,164797,93.4,altice finco,Altice SA,164797,93.4,Altice
ALTICE US FINANCE I CORPORATION,24159,altice us finance i corporation,altice,Altice USA Income A Placeholder A Dummy,184159,91.4,altice us,Altice USA (Frankfurt),261137,91.4,altice us finance,Altice SA,164797,86.4,Altice
ALTICE US FINANCE II CORPORATION,24158,altice us finance ii corporation,altice,Altice USA Income A Placeholder A Dummy,184159,91.2,altice us,Altice USA (Frankfurt),261137,91.2,altice us finance,Altice SA,164797,86.4,Altice
ALTICE US FINANCE S.A.,15321,altice us finance,altice,Altice USA 'A',133672,94.2,altice us,Altice USA 'A',133672,94.2,altice us finance,Altice SA,164797,90.4,Altice
"AMN HEALTHCARE, INC.",21957,amn healthcare,amn,AMN Healthcare Services,133693,95.2,amn healthcare,Healthcare,73398,96.6,amn healthcare,Healthcare,73398,96.6,
AMPLUS ANDHRA POWER PRIVATE LIMITED,11840,amplus andhra power private,amplus,G D Amplus Public Company,92867,88.4,amplus andhra,Mplus,121100,86.2,amplus andhra power,Mplus,121100,86.2,G D Amplus
AMPLUS Asset Development Inc.,14595,amplus asset development,amplus,G D Amplus Public Company,92867,89.0,amplus asset,Mplus,121100,86.8,amplus asset development,EC Development,53931,88.0,G D Amplus
AMPLUS ENERGY SOLUTIONS PRIVATE LIMITED,11812,amplus energy solutions private,amplus,G D Amplus Public Company,92867,88.6,amplus energy,Energy,79025,86.4,amplus energy solutions,Energysolutions,59817,87.4,G D Amplus
AMPLUS MANAGEMENT SERVICES PRIVATE LIMITED,11843,amplus management services private,amplus,G D Amplus Public Company,92867,88.2,amplus management,Management Trust,19747,89.0,amplus management services,Management Services,74520,94.4,G D Amplus
AMPLUS POWER SOLUTIONS PRIVATE LIMITED,11822,amplus power solutions private,amplus,G D Amplus Public Company,92867,89.4,amplus power,Mplus,121100,85.8,amplus power solutions,Power Solutions,112859,93.4,G D Amplus
AMPLUS POWER SUPPLY PRIVATE LIMITED,11867,amplus power supply private,amplus,G D Amplus Public Company,92867,90.0,amplus power,Securities Power,104250,86.2,amplus power supply,Mplus,121100,86.2,G D Amplus
AMPLUS RJ SOLAR PRIVATE LIMITED,11896,amplus rj solar private,amplus,G D Amplus Public Company,92867,89.2,amplus rj,Mplus,121100,87.2,amplus rj solar,Mplus,121100,87.2,G D Amplus
AMPLUS SOLAR POWER MH PRIVATE LIMITED,11888,amplus solar power mh private,amplus,G D Amplus Public Company,92867,89.6,amplus solar,Mplus,121100,85.8,amplus solar power,Solar Power,57597,91.0,G D Amplus
AMPLUS SOLAR POWER PRIVATE LIMITED,11780,amplus solar power private,amplus,G D Amplus Public Company,92867,89.4,amplus solar,Mplus,121100,86.4,amplus solar power,Solar Power,57597,91.8,G D Amplus
AMPLUS SUPERIOR SOLAR PRIVATE LIMITED,11916,amplus superior solar private,amplus,G D Amplus Public Company,92867,89.6,amplus superior,Superior,12707,88.6,amplus superior solar,Superior,12707,88.6,G D Amplus
AMT MANAGEMENT LIMITED,3565,amt management,amt,Amtek Engineering,32270,91.6,amt management,Management Trust,19747,96.6,amt management,Management Trust,19747,96.6,
AMUNDI FINANCE EMISSIONS S.A.,8607,amundi finance emissions,amundi,Amundi Index MSCI World,162357,92.8,amundi finance,INA,65640,84.4,amundi finance emissions,SSI Securities,124842,84.4,Amundi
AMUNDI FINANCE S.A.,8576,amundi finance,amundi,Amundi ETF GSCI NE,164833,93.8,amundi finance,INA,65640,87.0,amundi finance,INA,65640,87.0,Amundi
AMUNDI ISSUANCE S.A.,8610,amundi issuance,amundi,Amundi ETF Russ (Munich),254920,92.4,amundi issuance,ISS,159160,86.6,amundi issuance,ISS,159160,86.6,Amundi
ANAGRAM INTERNATIONAL INC,25049,anagram international,anagram,Anagram Finance,24198,93.4,anagram international,International,206505,95.2,anagram international,International,206505,95.2,Anagram
ANNINGTON FINANCE NO. 1 PLC,9002,annington finance no. 1,annington,Deutsche Annington Immobilien (Non-NASDAQ OTC),235953,89.2,annington finance,ONO Finance,49486,84.6,annington finance no.,ONO Finance,49486,84.6,DT. Annington
ANNINGTON FUNDING PLC,9832,annington funding,annington,Deutsche Annington Immobilien (Non-NASDAQ OTC),235953,87.6,annington funding,Ann,59043,86.0,annington funding,Ann,59043,86.0,DT. Annington
ANNINGTON LIMITED,9552,annington,annington,Ann,59043,90.0,annington,Ann,59043,90.0,annington,Ann,59043,90.0,DT. Annington
AON GLOBAL HOLDINGS PLC,9781,aon global holdings,aon,Seraon Holdings,39097,94.2,aon global,Titan Global Holdings,58056,90.0,aon global holdings,Global Holdings,54693,97.6,AON
"APOLLO MANAGEMENT HOLDINGS, L.P.",23923,apollo management holdings,apollo,Apollo Medical Holdings,133710,94.6,apollo management,Management Trust,19747,91.2,apollo management holdings,Management Trust Holding AG,19748,96.4,Apolloa Bankcorp
APOLLO SERIES 2005-2 TRUST,3354,apollo series 2005-2,apollo,Apollo Industries,62594,93.0,apollo series,IE,35464,83.6,apollo series 2005-2,AP,14627,83.6,Apolloa Bankcorp
APOLLO Series 2003-2 Trust,3325,apollo series 2003-2,apollo,Apollo Industries,62594,93.0,apollo series,AP,14627,83.6,apollo series 2003-2,AP,14627,83.6,Apolloa Bankcorp
APOLLO Series 2004-1E Trust,3323,apollo series 2004-1e,apollo,Apollo Industries,62594,92.6,apollo series,AP,14627,83.4,apollo series 2004-1e,IE,35464,83.4,Apolloa Bankcorp
APOLLO Series 2004-2 Trust,3332,apollo series 2004-2,apollo,Apollo Industries,62594,93.0,apollo series,AP,14627,83.6,apollo series 2004-2,AP,14627,83.6,Apolloa Bankcorp
APOLLO Series 2005-1E Trust,3344,apollo series 2005-1e,apollo,Apollo Industries,62594,92.6,apollo series,AP,14627,83.4,apollo series 2005-1e,AP,14627,83.4,Apolloa Bankcorp
APOLLO Series 2006-1E Trust,3367,apollo series 2006-1e,apollo,Apollo Industries,62594,92.6,apollo series,IE,35464,83.4,apollo series 2006-1e,IE,35464,83.4,Apolloa Bankcorp
APOLLO Series 2007-1E Trust,3409,apollo series 2007-1e,apollo,Apollo Industries,62594,92.6,apollo series,AP,14627,83.4,apollo series 2007-1e,AP,14627,83.4,Apolloa Bankcorp
ARD Holdings S.A.,15213,ard holdings,ard,Vard Holdings,40476,99.2,ard holdings,Ward Holdings,51556,99.2,ard holdings,Ward Holdings,51556,99.2,
ARLO II LIMITED,14756,arlo ii,arlo,Parlo,112657,93.4,arlo ii,AR,24258,88.8,arlo ii,AR,24258,88.8,ARLO Technologies
ARLO IV LIMITED,14754,arlo iv,arlo,Parlo,112657,93.4,arlo iv,AR,24258,88.8,arlo iv,AR,24258,88.8,ARLO Technologies
ARLO IX LIMITED,14808,arlo ix,arlo,Parlo,112657,93.4,arlo ix,IX,27142,88.8,arlo ix,IX,27142,88.8,ARLO Technologies
ARLO LIMITED,14744,arlo,arlo,Parlo,112657,97.8,arlo,Parlo,112657,97.8,arlo,Parlo,112657,97.8,ARLO Technologies
ARLO VII LIMITED,14802,arlo vii,arlo,Parlo,112657,92.4,arlo vii,AR,24258,88.0,arlo vii,AR,24258,88.0,ARLO Technologies
ARLO VIII LIMITED,14799,arlo viii,arlo,Parlo,112657,91.4,arlo viii,AR,24258,87.2,arlo viii,AR,24258,87.2,ARLO Technologies
ARLO X LIMITED,14805,arlo x,arlo,Parlo,112657,94.6,arlo x,AR,24258,90.0,arlo x,AR,24258,90.0,ARLO Technologies
ARLO XII LIMITED,14830,arlo xii,arlo,Parlo,112657,92.4,arlo xii,AR,24258,88.0,arlo xii,AR,24258,88.0,ARLO Technologies
ARLO XIV LIMITED,14872,arlo xiv,arlo,Parlo,112657,92.4,arlo xiv,AR,24258,88.0,arlo xiv,AR,24258,88.0,ARLO Technologies
ARV INTERNATIONAL LIMITED,14674,arv international,arv,Arvind International,24333,98.4,arv international,International,206505,97.4,arv international,International,206505,97.4,arv
ASCENDAS HOSPITALITY TRUST MANAGEMENT PTE. LTD,17888,ascendas hospitality management pte.,ascendas,Ascendas Hospitality REIT,32397,95.0,ascendas hospitality,Ascendas Hospitality REIT,32397,95.0,ascendas hospitality management,Management Trust,19747,88.6,ASCENDAS
ASCENDAS IT PARK (CHENNAI) LIMITED,11864,ascendas it park (chennai),ascendas,Ascendas India Trust (Berlin),267961,93.0,ascendas it,Ascendas India Trust (Berlin),267961,85.8,ascendas it park,Ark,32366,84.2,ASCENDAS
ASCENDAS PROPERTY FUND TRUSTEE PTE. LTD.,17878,ascendas property fund trustee pte.,ascendas,Ascendas REIT Units (Frankfurt),267962,91.6,ascendas property,Property Trust,49901,87.4,ascendas property fund,Property Trust,49901,87.4,ASCENDAS
ASCENDAS PTE LTD,17832,ascendas pte,ascendas,Ascendas India Trust,115365,93.8,ascendas pte,ASC Trust,304,88.0,ascendas pte,ASC Trust,304,88.0,ASCENDAS
ASSURA FINANCING PLC,9887,assura financing,assura,Security Assurance,39035,92.8,assura financing,Financing,17627,94.4,assura financing,Financing,17627,94.4,ASSURA
ASSURA GROUP LIMITED,8774,assura group,assura,United Assurance Group,51341,94.2,assura group,Assura PLC,182441,93.4,assura group,Assura PLC,182441,93.4,ASSURA
ASSURA PROPERTIES PLC,9792,assura properties,assura,Revenue Assurance Services,50132,91.2,assura properties,RAK Properties,126789,93.6,assura properties,RAK Properties,126789,93.6,ASSURA
"AUTOPISTA DEL GUADALMEDINA, CONCESIONARIA ESPA",8164,autopista del guadalmedina concesionaria espa,autopista,Autopistas del Sol (Non-NASDAQ OTC),243926,91.0,autopista del,Autopistas del Sol (Non-NASDAQ OTC),243926,84.60000000000001,autopista del guadalmedina,Dina,25579,83.2,Autopista
"AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC",17022,autopistas metropolitanas de puerto rico,autopistas,Autopistas del Sol (Non-NASDAQ OTC),243926,91.2,autopistas metropolitanas,Metropolitan,36924,89.2,autopistas metropolitanas de,Metropolitan,36924,89.2,Autopista
AVON INTERNATIONAL CAPITAL P.L.C.,9922,avon international capital p.l.c.,avon,Avon Protection (Non-NASDAQ OTC),243951,89.8,avon international,International,206505,91.4,avon international capital,National Capital,75093,93.0,AVON
AXA BANQUE FINANCEMENT S.A.,8615,axa banque financement,axa,AXA Banque Limited Data,14916,94.0,axa banque,AXA Banque Limited Data,14916,94.0,axa banque financement,CEM,91787,84.8,AXA Banque Limited Data
AXA BANQUE S.A.,8515,axa banque,axa,AXA Banque Limited Data,14916,96.0,axa banque,AXA Banque Limited Data,14916,96.0,axa banque,AXA Banque Limited Data,14916,96.0,AXA Banque Limited Data
AXA Bank Europe NV/SA,3773,axa bank europe nv/sa,axa,AXA Banque Limited Data,14916,92.2,axa bank,Security Bank,57405,86.4,axa bank europe,Europe,17350,88.8,AXA Banque Limited Data
AXA Bank Europe SCF,8537,axa bank europe scf,axa,AXA Banque Limited Data,14916,91.8,axa bank,Security Bank,107132,87.0,axa bank europe,Europe,17350,89.6,AXA Banque Limited Data
AXA Belgium Finance (NL) BV,16145,axa belgium finance (nl) bv,axa,AXA Belgium,484,91.6,axa belgium,AXA Belgium,484,91.6,axa belgium finance,AXA Belgium,484,91.6,AXA Banque Limited Data
AXA Equitable Life Insurance Company,21303,axa equitable life insurance company,axa,AXA Midi Assurances,14922,90.2,axa equitable,Equitable,133252,88.0,axa equitable life,Equitable,115126,88.0,AXA Banque Limited Data
AXA France Assurance,8477,axa france assurance,axa,AXA Midi Assurances,14922,94.4,axa france,France SA,144653,89.2,axa france assurance,Security Assurance,39035,92.4,AXA Banque Limited Data
AXA HOME LOAN SFH SA,8644,axa home loan sfh,axa,Saxa Holdings,113395,92.0,axa home,AXA,87376,86.0,axa home loan,AXA,87376,86.0,AXA Banque Limited Data
AXA Investment Managers,9281,axa investment managers,axa,Abraxas Investment,31908,93.6,axa investment,AXA Investment Managers EasyETF Gsal FCP A European,165017,92.4,axa investment managers,AXA Investment Managers EasyETF Gsal FCP A European,165017,92.4,AXA Banque Limited Data
AXIS REIT SUKUK BERHAD,15933,axis reit sukuk berhad,axis,Axis Incorporation Berhad,24486,92.0,axis reit,Axis Reits Units,106337,91.6,axis reit sukuk,Axis,14935,86.2,Axis Bank
AXIS Speciality Finance LLC,22986,axis speciality finance,axis,Axis Auto Finance,81511,95.0,axis speciality,Special,39462,89.4,axis speciality finance,Special,39462,89.4,Axis Bank
AXIS Specialty Finance PLC,9633,axis specialty finance,axis,Axis Auto Finance,81511,95.4,axis specialty,Special,39462,89.6,axis specialty finance,Special,39462,89.6,Axis Bank
Abbey National Sterling Capital PLC,9059,abbey national sterling capital,abbey,Abbey National Sub Capital Perpetual,192318,94.4,abbey national,Abbey National Sub Capital Perpetual,192318,94.4,abbey national sterling,Abbey National,44635,92.4,Abbey national
Abbott Ireland Financing Designated Activity C,24734,abbott ireland financing designated activity c,abbott,Abbott Mead Vickers,44639,89.2,abbott ireland,Ireland,55420,85.2,abbott ireland financing,Financing,17627,86.6,ABBOTT
"Abbott Japan Co., Ltd.",13524,abbott japan,abbott,Abbott India,97253,93.4,abbott japan,Japan,27177,91.8,abbott japan,Japan,27177,91.8,ABBOTT
